Llama3.1-8B,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
,vanilla-glove,0.7500,,,0.8500,0.5000,,,,
,memorybank,0.7500,,,0.9000,0.3750,,,,
,memorybank-glove,0.7500,,,0.8500,0.4000,,,,
,voyager,0.7500,,,0.8500,0.5000,,,,
,voyager-glove,0.7500,,,0.8500,0.5000,,,,
,generative,0.7500,,,0.9000,0.5000,,,,
,generative-glove,0.7500,,,0.8500,0.5000,,,,

GPT-4o,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
explicit,no-memory,0.1250,0.0250,0.0000,0.0000,0.1000,0.0000,0.8500,0.7500,0.5500
,vanilla,0.7375,0.0000,0.0000,0.8000,0.8000,0.0000,1.0000,1.0000,0.9000
,vanilla-glove,0.7125,0.5625,0.5625,0.8000,0.8000,0.8500,1.0000,1.0000,1.0000
,memorybank,0.8250,0.0750,0.2250,0.9000,0.8000,0.5500,1.0000,0.9500,1.0000
,memorybank-glove,0.5000,0.6500,0.8875,0.8500,0.8000,0.7500,0.9500,1.0000,0.9500
,voyager,0.7875,0.0000,0.0000,0.8500,0.8000,0.0000,1.0000,0.9000,1.0000
,voyager-glove,0.5750,0.6750,0.7500,0.8500,0.8000,0.8000,1.0000,1.0000,1.0000
,generative,0.5250,0.0000,0.0000,0.8500,0.8000,0.0000,1.0000,0.9500,0.7000
,generative-glove,0.5375,0.5000,0.5625,0.8000,0.8000,0.8000,0.9500,1.0000,1.0000
,,env0,env1,,env0,env1,,,,
implicit,no-memory,0.8250,0.8750,,0.0000,0.0000,,,,
,vanilla,1.0000,0.7500,,0.4750,0.5000,,,,
,vanilla-glove,0.9750,0.9875,,0.3500,0.9750,,,,
,memorybank,1.0000,0.8125,,0.6250,0.5750,,,,
,memorybank-glove,0.9875,0.9875,,0.6750,0.9750,,,,
,voyager,0.9875,0.7500,,0.6750,0.5000,,,,
